feature_id,timestamp,pod_name,service_name,label_memory_breach_next_30s,target_memory_mb_30s,target_memory_ratio_30s,actual_breach_within_30s,first_breach_second_offset
auth-api-6d1a0_30,2026-07-13T09:00:30+00:00,auth-api-6d1a0,auth-api,0,211.66,0.4134,0,
auth-api-6d1a0_31,2026-07-13T09:00:31+00:00,auth-api-6d1a0,auth-api,0,201.2,0.393,0,
auth-api-6d1a0_32,2026-07-13T09:00:32+00:00,auth-api-6d1a0,auth-api,0,222.39,0.4344,0,
auth-api-6d1a0_33,2026-07-13T09:00:33+00:00,auth-api-6d1a0,auth-api,0,211.34,0.4128,0,
auth-api-6d1a0_34,2026-07-13T09:00:34+00:00,auth-api-6d1a0,auth-api,0,225.03,0.4395,0,
auth-api-6d1a0_35,2026-07-13T09:00:35+00:00,auth-api-6d1a0,auth-api,0,217.95,0.4257,0,
auth-api-6d1a0_36,2026-07-13T09:00:36+00:00,auth-api-6d1a0,auth-api,0,224.08,0.4377,0,
auth-api-6d1a0_37,2026-07-13T09:00:37+00:00,auth-api-6d1a0,auth-api,0,212.23,0.4145,0,
auth-api-6d1a0_38,2026-07-13T09:00:38+00:00,auth-api-6d1a0,auth-api,0,222.75,0.4351,0,
auth-api-6d1a0_39,2026-07-13T09:00:39+00:00,auth-api-6d1a0,auth-api,0,221.3,0.4322,0,
auth-api-6d1a0_40,2026-07-13T09:00:40+00:00,auth-api-6d1a0,auth-api,0,209.92,0.41,0,
auth-api-6d1a0_41,2026-07-13T09:00:41+00:00,auth-api-6d1a0,auth-api,0,212.61,0.4153,0,
auth-api-6d1a0_42,2026-07-13T09:00:42+00:00,auth-api-6d1a0,auth-api,0,212.74,0.4155,0,
auth-api-6d1a0_43,2026-07-13T09:00:43+00:00,auth-api-6d1a0,auth-api,0,219.04,0.4278,0,
auth-api-6d1a0_44,2026-07-13T09:00:44+00:00,auth-api-6d1a0,auth-api,0,216.66,0.4232,0,
auth-api-6d1a0_45,2026-07-13T09:00:45+00:00,auth-api-6d1a0,auth-api,0,208.02,0.4063,0,
auth-api-6d1a0_46,2026-07-13T09:00:46+00:00,auth-api-6d1a0,auth-api,0,205.69,0.4017,0,
auth-api-6d1a0_47,2026-07-13T09:00:47+00:00,auth-api-6d1a0,auth-api,0,214.79,0.4195,0,
auth-api-6d1a0_48,2026-07-13T09:00:48+00:00,auth-api-6d1a0,auth-api,0,208.14,0.4065,0,
auth-api-6d1a0_49,2026-07-13T09:00:49+00:00,auth-api-6d1a0,auth-api,0,211.61,0.4133,0,
auth-api-6d1a0_50,2026-07-13T09:00:50+00:00,auth-api-6d1a0,auth-api,0,213.25,0.4165,0,
auth-api-6d1a0_51,2026-07-13T09:00:51+00:00,auth-api-6d1a0,auth-api,0,204.61,0.3996,0,
auth-api-6d1a0_52,2026-07-13T09:00:52+00:00,auth-api-6d1a0,auth-api,0,209.48,0.4091,0,
auth-api-6d1a0_53,2026-07-13T09:00:53+00:00,auth-api-6d1a0,auth-api,0,212.22,0.4145,0,
auth-api-6d1a0_54,2026-07-13T09:00:54+00:00,auth-api-6d1a0,auth-api,0,213.44,0.4169,0,
auth-api-6d1a0_55,2026-07-13T09:00:55+00:00,auth-api-6d1a0,auth-api,0,216.85,0.4235,0,
