timestamp,cluster_id,namespace,deployment_name,service_name,pod_name,container_name,node_name,workload_type,version,cpu_usage_mcores,cpu_limit_mcores,memory_usage_mb,memory_limit_mb,memory_working_set_mb,network_rx_kbps,network_tx_kbps,disk_read_kbps,disk_write_kbps,request_rate_rps,error_rate_rps,latency_p50_ms,latency_p95_ms,restart_count,pod_phase,ready,deployment_age_minutes,scenario_tag,event_hint
2026-07-13T09:00:00+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,307.23,1000,423.97,1024,349.14,424.53,267.45,30.78,42.22,100.18,0.3,84.04,153.35,0,Running,True,1440,memory_leak_after_deployment,
2026-07-13T09:00:01+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,325.78,1000,432.63,1024,408.8,309.84,298.38,6.04,17.03,91.37,0.11,81.62,146.24,0,Running,True,1441,memory_leak_after_deployment,
2026-07-13T09:00:02+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,272.46,1000,421.94,1024,375.84,253.97,211.4,27.75,34.97,81.42,0.0,76.9,158.66,0,Running,True,1442,memory_leak_after_deployment,
2026-07-13T09:00:03+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,282.88,1000,412.74,1024,351.18,605.59,474.5,5.23,49.32,107.15,0.0,85.54,127.35,0,Running,True,1443,memory_leak_after_deployment,
2026-07-13T09:00:04+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,313.88,1000,415.64,1024,381.45,390.81,212.73,38.5,23.51,86.25,0.08,80.42,148.88,0,Running,True,1444,memory_leak_after_deployment,
2026-07-13T09:00:05+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,349.36,1000,415.19,1024,345.84,328.15,433.92,26.13,49.39,95.52,0.0,91.58,131.02,0,Running,True,1445,memory_leak_after_deployment,
2026-07-13T09:00:06+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,272.97,1000,421.67,1024,388.85,460.37,418.38,18.25,35.36,85.05,0.04,91.03,156.68,0,Running,True,1446,memory_leak_after_deployment,
2026-07-13T09:00:07+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,306.81,1000,419.07,1024,392.3,485.49,384.9,25.21,43.75,83.95,0.0,81.31,172.03,0,Running,True,1447,memory_leak_after_deployment,
2026-07-13T09:00:08+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,277.66,1000,422.75,1024,349.37,397.04,282.89,7.79,17.8,98.63,0.0,79.58,164.01,0,Running,True,1448,memory_leak_after_deployment,
2026-07-13T09:00:09+00:00,demo-prod-like-cluster-01,payments,payment-api,payment-api,payment-api-7f8d0,payment-api,worker-03,Deployment,v2.2.9,332.55,1000,428.25,1024,357.22,379.78,349.06,17.77,25.36,89.34,0.0,87.65,170.56,0,Running,True,1449,memory_leak_after_deployment,
